WordnetID	Synsets	Definition
n10622053	soldier	an enlisted man or woman who serves in an army
n07699914	spaghetti	pasta in the form of long strings
n02101108	spaniel	any of several breeds of small to medium-sized gun dogs with a long silky coat and long frilled ears
n08403225	"mission,missionary_post,missionary_station,foreign_mission"	an organization of missionaries in a foreign land sent to carry on religious work
n04268969	sparkler	a firework that burns slowly and throws out a shower of sparks
n01539573	"sparrow,true_sparrow"	any of several small dull-colored singing birds feeding on seeds or insects
n10630188	"speaker,talker,utterer,verbalizer,verbaliser"	someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
n05917994	special_effect	an effect used to produce scenes that cannot be achieved by normal techniques (especially on film)
n07238694	"address,speech"	the act of delivering a formal spoken communication to an audience
n04274530	sphere	any spherically shaped artifact
n04275363	"spider_web,spider's_web"	a web spun by spiders to trap insect prey
n13876371	spiral	a plane curve traced by a point circling about the center but at increasing distances from the center
n04312432	"steeple,spire"	a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top
n04119751	"rundle,spoke,rung"	one of the crosspieces that form the steps of a ladder
n04285008	"sports_car,sport_car"	a small low car with a high-powered engine; usually seats two persons
n04285146	sports_equipment	equipment needed to participate in a particular sport
n15237044	"spring,springtime"	the season of growth
n01063234	spring_break	a week or more of recess during the spring term at school
n00294452	"dash,sprint"	a quick run
n11624840	spruce	light soft moderately strong wood of spruce trees; used especially for timbers and millwork
n02355227	squirrel	a kind of arboreal rodent having a long bushy tail
n07963087	stack	an orderly pile
n08439955	staff	personnel who assist their superior in carrying out an assigned task
n04296562	stage	a large platform on which people can stand and can be seen by an audience
n14882793	stained_glass	glass that has been colored in some way; used for church windows
n04314914	"step,stair"	support consisting of a place to rest the foot while ascending or descending a stairway
n02873839	"booth,cubicle,stall,kiosk"	small area set off by walls for special use
n02377181	"stallion,entire"	uncastrated adult male horse
n09444783	star	any celestial body visible (as a point of light) from the Earth at night
n04305323	stately_home	a mansion that is (or formerly was) occupied by an aristocratic family
n04306847	statue	a sculpture representing a human or animal
n07657903	steak	a slice of meat cut from the fleshy part of an animal or large fish
n04309049	steam_engine	external-combustion engine in which heat is used to raise steam which either turns a turbine or forces a piston to move up and down in a cylinder
n07804323	rice	grains used as food either unpolished or more often polished
n04313503	"steering_wheel,wheel"	a handwheel that is used for steering
n04313628	"stele,stela"	an ancient upright stone slab bearing markings
n03443371	goblet	a drinking glass with a base and stem
n09445289	steppe	extensive plain without trees (associated with eastern Russia and Siberia)
n07588947	stew	food prepared by stewing especially meat or fish with vegetables
n04319432	still_life	a painting of inanimate objects such as fruit or flowers
n02973558	carving	a sculpture created by removing material (as wood or ivory or stone) in order to create a desired shape
n04326547	stone_wall	a fence built of rough stones; used to separate fields
n02002075	stork	large mostly Old World wading birds typically having white-and-black plumage
n11462526	"storm,violent_storm"	a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n07890352	stout	a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
n04333129	strap	an elongated leather strip (or a strip of similar material) for binding things together or holding something in position
n07745940	strawberry	sweet fleshy red fruit
n09448361	"stream,watercourse"	a natural body of running water flowing on or under the earth
n04334599	street	a thoroughfare (usually including sidewalks) that is lined with buildings
n06794110	street_sign	a sign visible from the street
n10665698	"student,pupil,educatee"	a learner who is enrolled in an educational institution
n04344873	"studio_couch,day_bed"	convertible consisting of an upholstered couch that can be converted into a double bed
n03964744	"plaything,toy"	an artifact designed to be played with
n10415638	"performer,performing_artist"	an entertainer who performs a dramatic or musical work for an audience
n04347119	"subcompact,subcompact_car"	a car smaller than a compact car
n13118707	"subshrub,suffrutex"	low-growing woody shrub or perennial with woody base
n08554440	"suburb,suburbia,suburban_area"	a residential district located on the outskirts of a city
n04508804	"underpass,subway"	an underground tunnel or passage enabling pedestrians to cross a road or railway
n14705287	paste	any mixture of a soft and malleable consistency
n04350905	"suit,suit_of_clothes"	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n04351550	"suite,rooms"	apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
n08617963	"peak,crown,crest,top,tip,summit"	the top or extreme point of something (usually a mountain or hill)
n09450163	"sun,Sun"	the star that is the source of light and heat for the planets in the solar system
n13565622	tanning	process in which skin pigmentation darkens as a result of exposure to ultraviolet light
n11978233	"sunflower,helianthus"	any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays
n07775197	sunflower_seed	edible seed of sunflowers; used as food and poultry feed and as a source of oil
n04356056	"sunglasses,dark_glasses,shades"	spectacles that are darkened or polarized to protect the eyes from the glare of the sun
n11485367	"sunlight,sunshine,sun"	the rays of the sun
n11517656	sunrise	atmospheric phenomena accompanying the daily appearance of the sun
n15169248	"sunset,sundown"	the time in the evening at which the sun begins to fall below the horizon
n04358707	supermarket	a large self-service grocery store selling groceries and dairy products and household goods
n10676319	supermodel	a fashion model who has attained the status of a celebrity
n08256567	supper	a social gathering where a light evening meal is served
n00441824	"water_sport,aquatics"	sports that involve bodies of water
n04363559	surfboard	a narrow buoyant board for riding surf
n00445055	"surfing,surfboarding,surfriding"	the sport of riding a surfboard toward the shore on the crest of a wave
n07879450	sushi	rice (with raw fish) wrapped in seaweed
n04366367	suspension_bridge	a bridge that has a roadway supported by cables that are anchored at both ends
n09452395	"swamp,swampland"	low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n05716577	"sweet,sweetness,sugariness"	the taste experience when sugar dissolves in the mouth
n10683126	"swimmer,natator,bather"	a person who travels through the water by swimming
n00442115	"swimming,swim"	the act of swimming
n04371225	"swimming_pool,swimming_bath,natatorium"	pool that provides a facility for swimming
n04371563	"swimsuit,swimwear,bathing_suit,swimming_costume,bathing_costume"	tight fitting garment worn for swimming
n06806469	symbol	an arbitrary sign (written or printed) that has acquired a conventional significance
n05064827	"symmetry,symmetricalness,correspondence,balance"	(mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n04374735	"synagogue,temple,tabernacle"	(Judaism) the place of worship for a Jewish congregation
n02123045	"tabby,tabby_cat"	a cat with a grey or tawny coat mottled with black
n04379243	table	a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n04380143	tablecloth	a covering spread over a dining table
n04381994	tableware	articles for use at the table (dishes and silverware and glassware)
n10688070	tackle	the person who plays that position on a football team
n00306102	takeoff	a departure; especially of airplanes
n04389033	"tank,army_tank,armored_combat_vehicle,armoured_combat_vehicle"	an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
n03845190	"oil_tanker,oiler,tanker,tank_ship"	a cargo ship designed to carry crude oil in bulk
n04393549	"tapestry,tapis"	a heavy textile with a woven design; used for curtains and upholstery
n04394630	"tarmacadam,tarmac,macadam"	a paved surface having compressed layers of broken rocks held together with tar
n09454642	tarn	a mountain lake (especially one formed by glaciers)
n05715283	"taste,taste_sensation,gustatory_sensation,taste_perception,gustatory_perception"	the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n00263353	tattoo	the practice of making a design on the skin by pricking and staining
n02930766	"cab,hack,taxi,taxicab"	a car driven by a person whose job is to take passengers where they want to go in exchange for money
n07933274	tea	a beverage made by steeping tea leaves in water
n04968426	"bluish_green,blue_green,teal"	a blue-green color or pigment
n08208560	"team,squad"	a cooperative unit (especially in sports)
n00887544	team_sport	a sport that involves competition between teams of players
n00949619	"technology,engineering"	the practical application of science to commerce or industry
n04399382	"teddy,teddy_bear"	plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
n00441686	telemark	a turn made in skiing; the outside ski is placed ahead and turned gradually inwards
n04401088	"telephone,phone,telephone_set"	electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
n04405907	"television_receiver,television,television_set,tv,tv_set,idiot_box,boob_tube,telly,goggle_box"	an electronic device that receives television signals and displays them on a screen
n00482298	"tennis,lawn_tennis"	a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
n10701180	tennis_player	an athlete who plays tennis
n04411264	"tent,collapsible_shelter"	a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
n08674563	terrain	a piece of ground having specific characteristics or military potential
n06387980	"text,textual_matter"	the words of something written
n03309808	"fabric,cloth,material,textile"	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
n04946877	texture	the feel of a surface or a fabric
n04417809	"theater,theatre,house"	a building where theatrical performances or motion-picture shows can be presented
n05562249	thigh	the part of the leg between the hip and the knee
n11944196	thistle	any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
n13089631	"spine,thorn,prickle,pricker,sticker,spikelet"	a small sharp-pointed tip resembling a spike on a stem or leaf
n04426788	"thread,yarn"	a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
n07397355	thunder	a booming or crashing noise caused by air expanding along the path of a bolt of lightning
n11519253	"thunderstorm,electrical_storm,electric_storm"	a storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning
n02129604	"tiger,Panthera_tigris"	large feline of forests in most of Asia having a tawny coat with black stripes; endangered
n04434932	"tights,leotards"	skintight knit hose covering the body from the waist to the feet worn by acrobats and dancers and as stockings by women and girls
n04435180	tile	a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
n10714465	"toddler,yearling,tot,bambino"	a young child
n04446276	"toilet,lavatory,lav,can,john,privy,bathroom"	a room or building equipped with one or more toilets
n07734017	tomato	mildly acid red or yellow pulpy fruit eaten as a vegetable
n04451818	tool	an implement used in the practice of a vocation
n05282746	tooth	hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n04457326	torpedo_boat	small high-speed warship designed for torpedo attacks in coastal waters
n07633511	torte	rich cake usually covered with cream and fruit or nuts; originated in Austria
n01670092	tortoise	usually herbivorous land turtles having clawed elephant-like limbs; worldwide in arid area except Australia and Antarctica
n08186761	"bus_company,bus_service"	a public utility providing local transportation
n04459122	"touring_car,phaeton,tourer"	large open car seating four with folding top
n00298161	"tourism,touristry"	the business of providing services to tourists
n05853820	tourist_attraction	a characteristic that attracts tourists
n07464725	"tournament,tourney"	a sporting competition in which contestants play a series of games to decide the winner
n00310666	"tour,circuit"	a journey or route all the way around a particular place or area
n04460130	tower	a structure taller than its diameter; can stand alone or be attached to a larger building
n03519387	"high-rise,tower_block"	tower consisting of a multistoried building of offices or apartments
n08665504	town	an urban area with a fixed boundary that is smaller than a city
n08619620	"public_square,square"	an open area at the meeting of two or more streets
n08926543	Toyota	an industrial city of Japan in southern Honshu
n09387222	"path,track,course"	a line or route along which something travels or moves
n04465501	tractor	a wheeled vehicle with large wheels; used in farming and other applications
n06851742	trademark	a formally registered symbol identifying the manufacturer or distributor of a product
n05809745	tradition	an inherited pattern of thought or action
n08425303	traffic	the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n13944747	"congestion,over-crowding"	excessive crowding
n06874185	"traffic_light,traffic_signal,stoplight"	a visual signal to control the flow of traffic at intersections
n06791372	"signal,signaling,sign"	any nonverbal action or gesture that encodes a message
n04466613	trail	a path or track roughly blazed through wild or hilly country
n00300113	trail_riding	riding along a roughly blazed path
n04467665	"trailer_truck,tractor_trailer,trucking_rig,rig,articulated_lorry,semi"	a truck consisting of a tractor and trailer together
n04468005	"train,railroad_train"	public transport provided by a line of railway cars coupled together and drawn by a locomotive
n04469813	"tramway,tram,aerial_tramway,cable_tramway,ropeway"	a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers
n00295701	"travel,traveling,travelling"	the act of going from one place to another
n13104059	tree	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n13879320	"triangle,trigon,trilateral"	a three-sided polygon
n08372411	"tribe,folk"	a social division of (usually preliterate) people
n04483073	trigger	a device that activates or releases or causes something to happen
n04487081	"trolleybus,trolley_coach,trackless_trolley"	a passenger bus with an electric motor that draws power from overhead wires
n08274354	troop	a group of soldiers
n08665281	"Torrid_Zone,tropical_zone,tropics"	the part of the Earth's surface between the Tropic of Cancer and the Tropic of Capricorn; characterized by a hot climate
n04490091	"truck,motortruck"	an automotive vehicle suitable for hauling
n02241426	true_bug	any of various insects of the order Hemiptera and especially of the suborder Heteroptera
n13165815	"trunk,tree_trunk,bole"	the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
n04492749	truss_bridge	a bridge supported by trusses
n03595614	"jersey,T-shirt,tee_shirt"	a close-fitting pullover shirt
n04495843	"tugboat,tug,towboat,tower"	a powerful small boat designed to pull or push larger ships
n12454159	tulip	any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
n09463226	tundra	a vast treeless plain in the Arctic regions where the subsoil is permanently frozen
n04497962	tunnel	"a passageway through or under something, usually underground (especially one for trains or cars)"
n01662784	turtle	any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
n03201776	"dinner_jacket,tux,tuxedo,black_tie"	semiformal evening dress for men
n13163991	"branchlet,twig,sprig"	a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year
n00797361	"marathon,endurance_contest"	any long and arduous undertaking
n04507155	umbrella	a lightweight handheld collapsible canopy
n04508163	"undergarment,unmentionable"	a garment worn under other garments
n05669797	heritage	practices that are handed down from the past by tradition
n09466280	"universe,existence,creation,world,cosmos,macrocosm"	everything that exists anywhere
n08675967	"urban_area,populated_area"	a geographical area constituting a city or town
n05902327	"blueprint,design,pattern"	something intended as a guide for making something else
n09468604	"valley,vale"	a long depression in the surface of the land that usually contains a river
n04520480	van	(Great Britain) a closed railroad car that carries baggage or freight
n04522168	vase	an open jar of glass or porcelain used as an ornament or to hold flowers
n04523525	vault	an arched brick or stone ceiling or roof
n12212361	vegetable	any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower
n01139194	"license,permission,permit"	the act of giving a formal (usually written) authorization
n03502331	"head_covering,veil"	a garment that covers the head and face
n10577284	"seller,marketer,vender,vendor,trafficker"	someone who promotes or exchanges goods or services for money
n01471682	"vertebrate,craniate"	animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
n10749528	"veteran,veteran_soldier"	a serviceman who has seen considerable active service
n04532670	viaduct	bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
n04535524	villa	detached or semidetached suburban house
n08226699	"village,small_town,settlement"	a community of people smaller than a town
n04536038	"vineyard,vinery"	a farm of grapevines where wine grapes are produced
n12387478	"Viola,genus_Viola"	large genus of flowering herbs of temperate regions
n00965404	"violence,force"	an act of aggression (as one against a person who resists)
n12387839	violet	any of numerous low-growing violas with small flowers
n12387201	"Violaceae,family_Violaceae,violet_family"	"a family of order Parietales including the genera Viola, Hybanthus, Hymenanthera, Melicytus"
n00654885	"care,attention,aid,tending"	the work of providing treatment for or attending to someone or something
n00480211	"volleyball,volleyball_game"	a game in which two teams hit an inflated ball over a high net using their hands
n09474010	wadi	gully or streambed in northern Africa and the Middle East that remains dry except during rainy season
n04544979	"walk,walkway,paseo"	a path set aside for walking
n04546855	wall	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
n04552696	"warship,war_vessel,combat_ship"	a government ship that is available for waging war
n02212062	wasp	social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting
n09475292	"waterfall,falls"	a steep descent of the water of a river
n14856263	"waste,waste_material,waste_matter,waste_product"	any materials unused and rejected as worthless or unwanted
n04555897	"watch,ticker"	a small portable timepiece
n14845743	"water,H2O"	binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n01845132	"waterfowl,water_bird,waterbird"	freshwater aquatic bird
n05849789	"feature,characteristic"	a prominent attribute or aspect of something
n04558578	"watercolor,water-color,watercolour,water-colour"	a painting produced with watercolors
n09475179	watercourse	natural or artificial channel through which water flows
n04530566	"vessel,watercraft"	a craft designed for water transportation
n04559275	"watercourse,waterway"	a conduit through which water flows
n07345593	"wave,undulation"	(physics) a movement up and down or back and forth
n04565375	"weapon,arm,weapon_system"	any instrument or instrumentality used in fighting or hunting
n11524662	"weather,weather_condition,conditions,atmospheric_condition"	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
n06358900	"web_page,webpage"	a document connected to the World Wide Web and viewable by anyone connected to the internet who has a web browser
n06359193	"web_site,website,internet_site,site"	a computer connected to the internet that maintains a series of web pages on the World Wide Web
n07452074	"wedding,wedding_ceremony,nuptials,hymeneals"	the social event at which the ceremony of marriage is performed
n02898585	"bridal_gown,wedding_gown,wedding_dress"	a gown worn by the bride at a wedding
n08254876	wedding_reception	a reception for wedding guests held after the wedding
n02177972	weevil	any of several families of mostly small beetles that feed on plants and plant products; especially snout beetles and seed beetles
n04571292	"weight,free_weight,exercising_weight"	sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n00450335	"riding,horseback_riding,equitation"	the sport of siting on the back of a horse while controlling its movements
n09477890	wetland	a low area where the land is saturated with water
n02070430	porpoise	any of several small gregarious cetacean mammals having a blunt snout and many teeth
n12142085	wheat	annual or biennial grass having erect flower spikes and light brown grains
n07621388	whipped_cream	cream that has been beaten until light and fluffy
n01901828	"whisker,vibrissa,sensory_hair"	a long stiff hair growing from the snout or brow of most mammals as e.g. a cat
n07906284	"whiskey,whisky"	a liquor made from fermented mash of grain
n09638875	"White,White_person,Caucasian"	a member of the Caucasoid race
n02432291	"Virginia_deer,white_tail,whitetail,white-tailed_deer,whitetail_deer,Odocoileus_Virginianus"	common North American deer; tail has a white underside
n04583620	"widebody_aircraft,wide-body_aircraft,wide-body,twin-aisle_airplane"	a commercial airliner with two aisles
n08683548	"wilderness,wild"	a wild and uninhabited area left in its natural condition
n11672400	"wildflower,wild_flower"	wild or uncultivated flowering plant
n07993776	wildlife	all living things (except people) that are undomesticated
n11525955	"wind,air_current,current_of_air"	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
n04587327	windjammer	a large sailing ship
n04587404	"windmill,aerogenerator,wind_generator"	generator that extracts usable energy from winds
n04587648	window	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n04589190	window_blind	a blind for privacy or to keep out light
n03122748	covering	an artifact that covers something else (usually to protect or shelter or conceal it)
n04929976	treatment	a manner of dealing with something artistically
n04590553	"windshield,windscreen"	transparent screen (as of glass) to protect occupants of a vehicle
n07891726	"wine,vino"	fermented juice (of grapes especially)
n04591713	wine_bottle	a bottle for holding wine
n02151625	wing	a movable organ for flying (one of a pair)
n15237782	"winter,wintertime"	the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
n10787470	"woman,adult_female"	an adult female person (as opposed to a man)
n15098161	wood	the hard fibrous lignified substance under the bark of trees
n15052970	stain	(microscopy) a dye or other coloring material that is used in microscopy to make structures visible
n09284015	"forest,woodland,timberland,timber"	land that is covered with trees and shrubs
n13103136	"woody_plant,ligneous_plant"	a plant having hard lignified tissues or woody parts especially stems
n15104217	wool	fiber sheared from animals (such as sheep) and twisted into yarn for weaving
n00892413	workshop	a brief intensive course for a small group; emphasizes problem solving
n07457834	championship	a competition at which a champion is chosen
n01584225	"wren,jenny_wren"	any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects
n10793168	"wrestler,grappler,matman"	combatant who tries to throw opponent to the ground
n00447540	"wrestling,rassling,grappling"	the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down
n00929718	"writing,authorship,composition,penning"	the act of creating written works
n04610879	"yard,grounds,curtilage"	the enclosed land around a house or other building
n04965661	"yellow,yellowness"	yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
n10804406	"young_person,youth,younker,spring_chicken"	a young person (especially a young man or boy)
n03745146	"menagerie,zoo,zoological_garden"	the facility where wild animals are housed for exhibition
