WordnetID	Synsets	Definition
n02484473	"Old_World_monkey,catarrhine"	of Africa or Arabia or Asia; having nonprehensile tails and nostrils close together
n03849814	"opera,opera_house"	a building where musical dramas are performed
n07747607	orange	round yellow to orange fruit of any of several citrus trees
n10380672	"orator,speechmaker,rhetorician,public_speaker,speechifier"	a person who delivers a speech or oration
n08248157	orchestra	a musical organization consisting of a group of instrumentalists including string players
n12039743	"Orchidaceae,family_Orchidaceae,orchid_family"	enormous cosmopolitan family of perennial terrestrial or epiphytic plants with fleshy tubers or rootstocks and unusual flowers
n05297523	organ	a fully differentiated structural and functional unit in an animal that is specialized for some particular function
n00004475	"organism,being"	a living thing that has (or can develop) the ability to act or function independently
n00936456	origami	"the Japanese art of folding paper into shapes representing objects (e.g., flowers or birds)"
n09381242	"outcrop,outcropping,rock_outcrop"	the part of a rock formation that appears above the surface of the surrounding land
n00401783	"refreshment,recreation"	activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation
n04199027	shoe	footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
n08500433	"outer_space,space"	any location outside the Earth's atmosphere
n03859495	"outerwear,overclothes"	clothing for use outdoors
n04202417	"shop,store"	a mercantile establishment for the retail sale of goods or services
n03995535	"power_line,power_cable"	cable used to distribute electricity
n03865557	"overpass,flyover"	bridge formed by the upper level of a crossing of two highways at different levels
n01621127	"owl,bird_of_Minerva,bird_of_night,hooter"	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
n11989869	"oxeye_daisy,ox-eyed_daisy,marguerite,moon_daisy,white_daisy,Leucanthemum_vulgare,Chrysanthemum_leucanthemum"	tall leafy-stemmed Eurasian perennial with white flowers; widely naturalized; often placed in genus Chrysanthemum
n13007417	"oyster_mushroom,oyster_fungus,oyster_agaric,Pleurotus_ostreatus"	edible agaric with a soft greyish cap growing in shelving masses on dead wood
n01317391	"pack_animal,sumpter"	an animal (such as a mule or burro or horse) used to carry loads
n03873699	paddle	a blade of a paddle wheel or water wheel
n08614229	"paddy,paddy_field,rice_paddy"	an irrigated or flooded field where rice is grown
n03874965	pagoda	an Asian temple; usually a pyramidal tower with an upward curving roof
n03876519	"painting,picture"	graphic art consisting of an artistic composition made by applying paints to a surface
n14974264	paper	a material made of cellulose pulp derived mainly from wood or rags or certain grasses
n03888257	"parachute,chute"	rescue equipment consisting of a device that fills with air and retards your fall
n00303849	"jump,parachuting"	descent with a parachute
n08428485	parade	a ceremonial procession including people marching
n00304349	"parasailing,paragliding"	gliding in a parasail
n08615374	"park,commons,common,green"	a piece of open land for recreational use in an urban area
n13778671	parking	space in which vehicles can be parked
n01816887	parrot	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n08252602	party	a group of people gathered together for pleasure
n10403876	"passenger,rider"	a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
n03895866	"passenger_car,coach,carriage"	a railcar where passengers ride
n03896103	passenger_ship	a ship built to carry passengers
n08616050	"pasture,pastureland,grazing_land,lea,ley"	a field covered with grass or herbage and suitable for grazing by livestock
n03898500	patchwork	sewing consisting of pieces of different materials sewn together in a pattern
n03900979	"pavilion,marquee"	large and often sumptuous tent
n00455599	game	a contest with rules to determine a winner
n09388023	pebble	a small smooth rounded rock
n10412055	"pedestrian,walker,footer"	a person who travels by foot
n03904183	"pedestrian_crossing,zebra_crossing"	street crossing where pedestrians have right of way; often marked in some way (especially with diagonal stripes)
n03908831	"pendant,pendent"	an adornment that hangs from a piece of jewelry (necklace or earring)
n02055803	penguin	short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers
n07680932	"bun,roll"	small rounded bread either plain or sweet
n11719286	"peony,paeony"	any of numerous plants widely cultivated for their showy single or double red or pink or white flowers
n07942152	people	(plural) any group of human beings (men or women or children) collectively
n01523656	"Insessores,order_Insessores,perching_bird,percher"	a bird with feet adapted for perching (as on tree branches); this order is now generally abandoned by taxonomists
n00545059	percussion	the act of playing a percussion instrument
n00097504	"performance,execution,carrying_out,carrying_into_action"	the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n00550771	performance	the act of presenting a play or a piece of music or other entertainment
n06157326	performing_arts	arts or skills that require public performance
n00007846	"person,individual,someone,somebody,mortal,soul"	a human being
n03918480	"personal_computer,PC,microcomputer"	a small digital computer based on a microprocessor and designed to be used by one person at a time
n01314388	pest	any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.
n01318894	pet	a domesticated animal kept for companionship or amusement
n11690455	"petal,flower_petal"	part of the perianth that is usually brightly colored
n01802309	"Phasianidae,family_Phasianidae"	pheasants; quails; partridges
n06704115	"Ph.D.,PhD"	a doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded graduate study
n03925226	"photograph,photo,exposure,picture,pic"	a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
n03927201	photomontage	a montage that uses photographic images
n12130759	"Phragmites,genus_Phragmites"	reeds of marshes and riversides in tropical or temperate regions
n00624738	"exercise,exercising,physical_exercise,physical_exertion,workout"	the activity of exerting your muscles in various ways to keep fit
n14546432	"fitness,physical_fitness"	good physical condition; being in shape or in condition
n10430665	"pianist,piano_player"	a person who plays the piano
n03928116	"piano,pianoforte,forte-piano"	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
n03930630	"pickup,pickup_truck"	a light truck with an open body and low sides and a tailboard
n07576438	picnic	any informal meal eaten outside or on an excursion
n03931765	picture_frame	a framework in which a picture is mounted
n02280223	"Pieridae,family_Pieridae"	arthropod family including cabbage butterflies; sulphur butterflies
n01811909	pigeon	wild and domesticated birds having a heavy body and short legs
n04970916	pink	a light shade of red
n13621850	pint	a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters
n03948242	piste	a ski run densely packed with snow
n00106272	"pitch,delivery"	(baseball) the act of throwing a baseball by a pitcher to a batter
n10435988	"pitcher,hurler,twirler"	(baseball) the person who does the pitching
n07873807	"pizza,pizza_pie"	Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
n03953416	"place_of_worship,house_of_prayer,house_of_God,house_of_worship"	any building where congregations gather for prayer
n09393605	"plain,field,champaign"	extensive tract of level open land
n03954199	"plan,architectural_plan"	scale drawing of a structure
n09394007	"planet,major_planet"	"(astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction"
n13129165	"stalk,stem"	a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n13252513	plantation	an estate where cash crops are grown on a large scale (especially in tropical areas)
n14992287	plaster	a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n09453008	"tableland,plateau"	a relatively flat highland
n00431893	"play,child's_play"	activity by children that is guided more by imagination than by fixed rules
n10439851	"player,participant"	a person who participates in or is skilled at some game
n03963645	playground	yard consisting of an outdoor area for children's play
n08619795	"plaza,place,piazza"	a public square with room for pedestrians
n03969259	plumbing_fixture	a fixture for the distribution and use of water in a building
n03970546	plush	a fabric with a nap that is longer and softer than velvet
n03971218	"plywood,plyboard"	a laminate made of thin layers of wood
n03972524	pocket	a small pouch inside a garment for carrying small articles
n08209687	"police,police_force,constabulary,law"	the force of policemen and officers
n10448983	"policeman,police_officer,officer"	a member of a police force
n11675537	pollen	the fine spores that contain male gametes and that are borne by an anther in a flowering plant
n02161457	pollinator	an insect that carries pollen from one flower to another
n02606194	"Pomacentridae,family_Pomacentridae"	damselfishes
n11900569	poppy	annual or biennial or perennial herbs having showy flowers
n03984234	porcelain	ceramic ware made of a more or less translucent ceramic
n03984381	porch	a structure attached to the exterior of a building often forming a covered entrance
n08633957	port	a place (seaport or airport) where people and merchandise can enter or leave a country
n13792842	communication	a connection allowing access between persons or places
n07202391	"portrayal,portraiture,portrait"	a word picture of a person's appearance and character
n06793426	"poster,posting,placard,notice,bill,card"	a sign posted in a public place as an advertisement
n03992703	"pottery,clayware"	ceramic ware made from clay and baked in a kiln
n08619524	prairie	a treeless grassy plain
n10470779	priest	a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
n02469914	primate	any placental mammal of the order Primates; has good eyesight and flexible hands and feet
n07705711	"produce,green_goods,green_groceries,garden_truck"	fresh fruits and vegetable grown for the market
n03748886	"merchandise,ware,product"	commodities offered for sale
n00609953	profession	an occupation requiring special education (especially in the liberal arts or sciences)
n10480253	"professional,professional_person"	a person engaged in one of the learned professions
n00446311	professional_boxing	boxing for money
n07449316	"promenade,prom"	a formal ball held for a school class toward the end of the academic year
n04011827	"propeller,propellor"	a mechanical device that rotates to push against air or water
n13244109	"property,belongings,holding"	something owned; any tangible or intangible possession that is owned by someone; 
n07210225	"protest,protestation"	a formal and solemn declaration of objection
n07978170	public_library	a nonprofit library maintained for public use
n07247925	"public_relations,PR"	a promotion intended to create goodwill for a person or institution
n08652970	space	an area reserved for some particular purpose
n07241837	"public_speaking,speechmaking,speaking,oral_presentation"	delivering an address to a public audience
n04019101	public_transport	conveyance for passengers or mail or freight
n00134780	"punch,clout,poke,lick,biff,slug"	(boxing) a blow with the fist
n01322604	puppy	a young dog
n04970059	"purple,purpleness"	a purple color or pigment
n03949442	"pit,quarry,stone_pit"	a surface excavation for extracting stone or slate
n04033995	"quilt,comforter,comfort,puff"	bedding made of two layers of cloth filled with stuffing and stitched together
n04034367	quilting	"a material used for making a quilt, or a quilted fabric"
n07449862	"fete,feast,fiesta"	an elaborate party (often outdoors)
n02324045	"rabbit,coney,cony"	any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
n07458453	race	a contest of speed
n04037443	"racer,race_car,racing_car"	a fast car that competes in races
n04037625	"racetrack,racecourse,raceway,track"	a course over which races are run
n04045397	raft	a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
n03100490	"conveyance,transport"	something that serves as a means of transportation
n02959942	"car,railcar,railway_car,railroad_car"	a wheeled vehicle adapted to the rails of railroad
n15008607	"rain,rainwater"	drops of fresh water that fall as precipitation from clouds
n11507951	sleet	partially melted snow (or a mixture of rain and snow)
n09403427	rainbow	an arc of colored light in the sky caused by refraction of the sun's rays by rain
n08439126	"rain_forest,rainforest"	a forest with heavy annual rainfall
n01230685	rallying	the act of mobilizing for a common purpose
n04052442	"ranch,spread,cattle_ranch,cattle_farm"	farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
n11879895	rapeseed	seed of rape plants; source of an edible oil
n09405396	rapid	a part of a river where the current is very fast
n04054213	"rapid_transit,mass_rapid_transit"	an urban public transit system using underground or elevated trains
n12655869	"raspberry,raspberry_bush"	woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
n07449676	rave	a dance party that lasts all night and electronically synthesized music is played
n09405787	ravine	a deep narrow steep-sided valley (especially one formed by running water)
n05808794	reading	the cognitive process of understanding a written linguistic message
